,species,genus,family,order,class,phylum,superkingdom
path1,1.0,0.9772343576911353,0.9634368496732402,0.9473695429167861,0.9221129616715421,0.8335028056127581,0.8783448738549482
path2,1.0,0.9745518145247267,0.8885114317128187,0.9367885960278859,0.9053648385492514,0.8519086366940904,0.9025767635910317
path3,1.0,0.9809330067945199,0.9550221329917465,0.7538269820958755,0.8772449666616841,0.8348369944492879,0.9337030442388384
path4,1.0,0.9652332237676132,0.9637834841494244,0.7559389176548708,0.8656452247551639,0.8126092844784437,0.9160640747465736
path5,1.0,0.9568516549640846,0.9497814958384272,0.73885265863797,0.8494842424907135,0.8120468292698972,0.9132693409730361
path6,1.0,0.9816415551300237,0.9112259858726115,0.8123565976826621,0.9189892456354335,0.8035537166722683,0.9057914010807788
path7,1.0,0.9759165682577975,0.92302914072888,0.798744179806691,0.9131005352779624,0.8082597840187489,0.9026711275047499
